0	-1.00	-0.06
1	-0.56	0.84
2	0.17	0.16
3	1.14	-0.09
4	1.74	0.71
5	0.97	1.34
6	1.64	0.60
7	1.69	1.59
8	1.11	0.78
9	1.05	-0.21
10	1.73	-0.95
11	0.76	-1.22
12	0.03	-0.54
13	0.99	-0.82
14	0.08	-0.41
15	0.53	-1.31
16	1.31	-1.92
17	0.33	-2.12
18	-0.66	-2.21
19	-0.60	-3.21
20	-1.08	-4.08
21	-0.32	-4.74
22	0.54	-4.23
23	-0.35	-3.78
24	-0.83	-4.66
25	-0.28	-3.82
26	0.42	-3.11
27	-0.29	-3.81
28	-0.13	-4.80
29	0.82	-4.51
30	0.43	-3.59
31	1.15	-4.29
32	0.36	-4.90
33	0.90	-5.74
34	0.17	-5.05
35	-0.74	-5.45
36	-1.28	-6.30
37	-2.23	-6.61
38	-2.13	-7.61
39	-1.83	-6.65
40	-0.83	-6.68
41	0.11	-6.35
42	-0.32	-7.25
43	-1.13	-6.68
44	-0.47	-5.93
45	-0.05	-6.83
46	0.55	-7.63
47	0.67	-6.64
48	0.84	-5.65
49	1.81	-5.91
50	2.53	-6.60
51	2.87	-5.66
52	3.40	-6.51
53	2.72	-5.77
54	2.81	-6.77
55	3.10	-7.73
56	2.40	-7.01
57	2.62	-6.03
58	2.72	-5.04
59	3.56	-5.58
60	3.56	-6.58
61	2.70	-6.06
62	3.08	-5.14
63	2.35	-4.45
64	3.24	-4.90
65	4.04	-4.29
66	5.03	-4.24
67	4.05	-4.39
68	4.73	-3.65
69	3.88	-4.19
70	3.42	-5.08
71	3.01	-5.99
72	2.32	-6.72
73	1.85	-5.83
74	2.25	-4.91
75	1.56	-4.19
76	2.00	-3.29
77	2.89	-3.74
78	2.97	-4.74
79	3.13	-3.75
80	3.34	-4.73
81	3.49	-3.75
82	2.54	-4.06
83	2.82	-5.02
84	3.63	-4.43
85	3.62	-5.43
86	3.91	-6.38
87	2.91	-6.27
88	3.44	-5.42
89	3.87	-4.52
90	3.57	-5.47
91	4.15	-4.65
92	5.15	-4.64
93	4.21	-4.98
94	3.55	-4.23
95	3.03	-5.08
96	2.20	-5.64
97	2.74	-6.48
98	2.07	-7.22
99	3.05	-7.04
